item_number,name,description,brand,unit,cost_price,list_price,sale_price,product_status,barcode,metadata_json
AWXL13,"Snap-on 13件式  英制 L型 特長六角板手組 (0.05-3/8"")","Snap-on 13件式  英制 L型 特長六角板手組 (0.05-3/8"")",Unknown,套組,0,3150,0,active,AWXL13,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
B1464A,Snap-on 9-11 mm 6角 Flank Drive® 煞車放氣扳手,Snap-on 9-11 mm 6角 Flank Drive® 煞車放氣扳手,Unknown,支,0,0,0,active,B1464A,"{'category': 'Snap-on 扳手系列', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
B191040100,BAHCO 一字螺絲起子 4x100 mm,BAHCO 一字螺絲起子 4x100 mm,Unknown,支,0,150,0,active,B191040100,"{'category': 'BAHCO 起子系列', 'safety_stock': 0, 'stock_qty': 10, 'supplier': ''}"
B219008,BAHCO 一字/十字 螺絲起子8件組,BAHCO 一字/十字 螺絲起子8件組,Unknown,件,752,1880,0,active,,"{'category': 'BAHCO 起子系列', 'safety_stock': 1, 'stock_qty': 7, 'supplier': ''}"
B28888,南港車展 美國藍點工具車 黑色七抽 優惠組合 B28888,南港車展 美國藍點工具車 黑色七抽 優惠組合 B28888,Unknown,套組,0,28888,0,active,B28888,"{'category': '工具 特殊優惠', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
B28888BLUE,南港車展 美國藍點工具車 藍色七抽 優惠組合 B28888,南港車展 美國藍點工具車 藍色七抽 優惠組合 B28888,Unknown,套組,0,28888,0,active,B28888,"{'category': '工具 特殊優惠', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
B28888KPRO,南港車展 美國藍點工具車 橘色七抽 優惠組合 B28888,南港車展 美國藍點工具車 橘色七抽 優惠組合 B28888,Unknown,套組,0,31423,0,active,B28888,"{'category': '工具 特殊優惠', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
B28888RED,南港車展 美國藍點工具車 紅色七抽 優惠組合 B28888RED,南港車展 美國藍點工具車 紅色七抽 優惠組合 B28888RED,Unknown,套組,0,28888,0,active,B28888RED,"{'category': '工具 特殊優惠', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
BAG006,Muc-Off 騎士防水包 粉紅閃電 15.7L,Muc-Off 騎士防水包 粉紅閃電 15.7L,Unknown,個,0,0,0,active,,"{'category': 'Muc-Off', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
BAG014,Muc-Off 騎士防水包 賽車格紋 26L,Muc-Off 騎士防水包 賽車格紋 26L,Unknown,個,0,799,0,active,5037835213072,"{'category': 'Muc-Off', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
BAT151,BOSCH 專業電池與系統測試器（內阻IR）,BOSCH 專業電池與系統測試器（內阻IR）,Unknown,件,0,0,0,active,,"{'category': 'BOSCH', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
BB9008,Snap-on 真空排氣機,Snap-on 真空排氣機,Unknown,個,0,6450,0,active,BB9008,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 1, 'supplier': ''}"
BB9018,Snap-on 煞車排氣器,Snap-on 煞車排氣器,Unknown,件,0,7550,0,active,BB9018,"{'category': 'Snap-on 其他工具', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
BB9018KIT,Snap-on 1.8L 剎車油吸取油壺組,Snap-on 1.8L 剎車油吸取油壺組,Unknown,套組,0,11450,0,active,BB9018KIT,"{'category': 'Snap-on 工具套組', 'safety_stock': 0, 'stock_qty': 0, 'supplier': ''}"
